List,Unit,Index,word,mean
0,0,0,regress, v.  倒退;回归;退化  
0,0,1,progress," n.  进步;进展;进程;前进;行进  
 v.  进步;改进;进展;前进;行进;(时间上)推移，流逝  "
0,0,2,ingress, n.  进入;进入权;入境权  
0,0,3,improvise, v.  临时拼凑;临时做;即兴创作(音乐、台词、演讲词等)  
0,0,4,benefactor, n.  施主;捐款人;赞助人  
0,0,5,manufacturer, n.  生产者;制造者;生产商  
0,0,6,shelter," n.  居所;住处;遮蔽，庇护，避难(避雨、躲避危险或攻击);(尤指用以躲避风雨或攻击的)遮蔽物，庇护处，避难处  
 v.  保护;掩蔽;躲避(风雨或危险)  "
0,0,7,shield," n.  盾(牌);保护人;保护物;掩护物;屏障;(保护机器和操作者的)护罩，防护屏，挡板  
 v.  保护某人或某物(免遭危险、伤害或不快);给…加防护罩  "
0,0,8,shell," n.  (蛋、坚果、某些种子和某些动物的)壳;壳状物;炮弹  
 v.  炮击;给…去壳  "
0,0,9,fetter," v.  束缚;限制，抑制(某人的自由);给(囚犯)上脚镣  
 n.  束缚;桎梏;羁绊;脚镣  "
0,1,0,fiend, n.  恶魔般的人;残忍的人;令人憎恶的人;…迷;…狂;爱好者;魔鬼;恶魔  
0,1,1,fiendish, adj.  恶魔般的;残忍的;令人憎恶的;(常令人不快地)巧妙复杂的;极其困难的  
0,1,2,womanish, adj.  脂粉气的;娘娘腔的;更适合女性的  
0,1,3,mannish, adj.  像男人的;男子气的;男性化的  
0,1,4,womanly, adj.  女性特有的;女子般的;适合女人的  
0,1,5,manly, adj.  有男子汉气概的;强壮的  
0,2,0,spout," n.  (容器的)嘴;(喷出的)水柱，液体柱  
 v.  喷出;喷射;喷水;滔滔不绝地说;喋喋不休地说  "
0,2,1,sprout," v.  发芽;抽芽;抽条;生长;出现;(使)涌现出;长出(某物);(某物)长出  
 n.  苗;新芽;嫩枝  "
0,2,2,chrysanthemum, n.  菊花  
0,2,3,pestilence, n.  瘟疫  
0,2,4,morose, adj.  阴郁的;脾气不好的;闷闷不乐的  
0,2,5,precarious, adj.  不稳的;不确定的;不保险的;危险的;摇摇欲坠的;不稳固的  
0,2,6,avalanche, n.  雪崩;山崩  
1,0,0,adjure, v.  要求;命令  
1,0,1,abjure, v.  公开保证放弃，声明放弃(信念、行为、活动)  
1,0,2,conjure, v.  变魔术;变戏法;使…变戏法般地出现(或消失)  
1,0,3,perjure, v.  作伪证;发假誓  
1,0,4,jury, n.  陪审团;(比赛的)评判委员会，裁判委员会  
1,0,5,perjury, n.  伪证;伪誓;伪证罪  
1,0,6,espouse, v.  支持，拥护，赞成(信仰、政策等)  
1,0,7,spouse," n.  配偶  
 vt.  和…结婚  "
1,0,8,spawn," v.  产卵;引发;引起;导致;造成  
 n.  (鱼、蛙等的)卵  "
1,0,9,forgo, v.  放弃，弃绝(想做的事或想得之物)  
1,0,10,forsake, v.  抛弃，遗弃，离开(尤指不履行责任);摒弃，离开(尤指喜爱的事物)  
1,0,11,forswear, v.  放弃;发誓戒除  
1,0,12,renounce, v.  声明放弃;宣布放弃;宣布与…决裂;宣布摒弃;宣布断绝与…的关系  
1,0,13,relinquish, v.  (尤指不情愿地)放弃  
1,1,0,omen, n.  预兆;前兆;征兆  
1,1,1,abominate, v.  憎恨;憎恶;厌恶;极其讨厌  
1,1,2,ominous, adj.  预兆的;恶兆的;不吉利的  
1,1,3,abhor, v.  (尤指因道德原因而)憎恨，厌恶，憎恶  
1,1,4,detest, v.  厌恶;憎恨;讨厌  
1,1,5,loathe, v.  极不喜欢;厌恶  
1,1,6,loath, adj.  不情愿;不乐意;勉强  
1,1,7,oath, n.  宣誓;誓言;(表示愤怒、惊异等的)咒骂，诅咒的话  
1,1,8,horrible, adj.  极坏的;十分讨厌的;可恶的;令人震惊的;恐怖的;不友善的;讨厌的;不厚道的  
1,1,9,deforest, v.  砍掉(某地)的树林;毁掉(某地)的森林  
1,1,10,dehydrate, v.  使(食物)脱水;(身体)失水，脱水;使(身体)脱水  
1,2,0,abstinence, n.  (因道德、宗教或健康原因对饮食、酒、色等的)节制;禁欲  
1,2,1,abstain, v.  (投票时)弃权;戒;戒除;离开;回避　  
1,2,2,abstain, v.  (投票时)弃权;戒;戒除;离开;回避　  
1,2,3,abstract," adj.  抽象的(与个别情况相对);纯理论的;抽象的(与具体经验相对);抽象(派)的  
 n.  抽象派艺术作品;(文献等的)摘要，概要  
 v.  把…抽象出;提取;抽取;分离;写出(书等的)摘要  "
1,2,4,abscond, v.  逃走;逃遁;(携款)潜逃  
1,2,5,absolve, v.  宣告…无罪;判定…无责;赦免…的罪  
1,2,6,maintain, v.  维持;保持;维修;保养;坚持(意见);固执己见  
1,2,7,detain, v.  拘留;扣押;耽搁;留住;阻留  
1,2,8,retain, v.  保持;持有;保留;继续拥有;继续容纳;聘请(律师等)  
1,2,9,pertain, v.  存在;适用  
1,2,10,distain, v.  使变色，弄脏，伤害名誉  
1,2,11,disdain," n.  鄙视;蔑视;鄙弃  
 v.  鄙视;蔑视;鄙弃;不屑(做某事)  "
1,2,12,pertinent, adj.  有关的;恰当的;相宜的  
1,3,0,acerbic, adj.  尖刻的;严厉的  
1,3,1,exacerbate, v.  使恶化;使加剧;使加重  
1,3,2,acrid, adj.  (气、味)辛辣的，难闻的，刺激的  
1,3,3,acrimonious, adj.  尖刻的;讥讽的;激烈的  
1,3,4,acme, n.  顶峰;顶点;典范  
1,3,5,acumen, n.  精明;敏锐  
2,0,0,superfluous, adj.  过剩的;过多的;多余的  
2,0,1,affluence, n.  富裕;富足  
2,0,2,effluvia," n.  废气；臭气；恶臭;无声放电;（臭气、液体等的）流出，外流，放出，散出  
  effluvium的复数  "
2,0,3,fluctuate, v.  (大小、数量、质量等)波动;(在…之间)起伏不定  
2,0,4,flux," n.  不断的变动;不停的变化;通量;流动  
 v.  熔化;熔解;流出  "
2,0,5,influx, n.  (人、资金或事物的)涌入，流入  
2,1,0,affront," n.  侮辱;冒犯  
 v.  侮辱;冒犯  "
2,1,1,confront, v.  使…无法回避;降临于;处理，解决(问题或困境);面对;对抗;与(某人)对峙  
2,1,2,effrontery, n.  厚颜无耻的行为;傲慢鲁莽的举止  
2,1,3,revile, v.  辱骂;斥责  
2,1,4,vilify, v.  污蔑;诽谤;诋毁;中伤  
2,1,5,abuse," n.  滥用;妄用;虐待;辱骂;恶语  
 v.  滥用(以致危害健康);滥用，妄用(权力、所知所闻);虐待;性虐待;伤害  "
2,1,6,evil," adj.  恶毒的;邪恶的;有害的;道德败坏的;恶魔的;罪恶的  
 n.  邪恶;罪恶;恶行;害处;坏处;弊端  "
2,1,7,vile, adj.  糟糕透顶的;可恶的;极坏的;邪恶的;令人完全不能接受的  
2,1,8,abusive, adj.  辱骂的;恶语的;毁谤的;虐待的  
2,1,9,disabuse, v.  去掉(某人)的错误想法;使省悟  
2,1,10,peruse, v.  细读;研读  
2,1,11,correct," adj.  准确无误的;精确的;正确的;恰当的;合适的;(举止言谈)符合公认准则的，得体的  
 v.  改正;纠正;修正;批改;改;指出错误  "
2,2,0,alleviate, v.  减轻;缓和;缓解  
2,2,1,allay, v.  减轻(尤指情绪)  
2,2,2,levity, n.  轻率的举止;轻浮;轻佻  
2,2,3,levy," n.  征收额;(尤指)税款  
 v.  征收;征(税)  "
2,2,4,gravity, n.  重力;地球引力;严重性;严肃;庄严  
2,2,5,rescind, v.  废除;取消;撤销  
2,2,6,scissors," n.  剪刀  
 v.  剪断;删除  
  scissor的第三人称单数  "
2,2,7,slay, v.  (在战争或搏斗中)杀，杀死;杀害;残害;谋杀;深深打动;迷住  
2,2,8,flay, v.  剥(死人或动物的皮);毒打，狠狠鞭打(直至皮开肉绽);严厉批评  
2,2,9,waylay, v.  拦截(尤其是为了谈话或袭击);拦路  
3,0,0,aground," adv.  (指船)搁浅  
 adj.  搁浅的;在地面上的  "
3,0,1,aloof, adj.  冷漠;冷淡  
3,0,2,afoot, adj.  计划中;进行中  
3,0,3,alight," adj.  燃烧;着火;容光焕发;兴奋  
 v.  降落;飞落;从(公共汽车、火车等)下来  "
3,0,4,akin, adj.  相似的;类似的  
3,0,5,apathy, n.  冷漠;淡漠  
3,0,6,sympathy, n.  同情;赞同;支持;意气相投;志同道合  
3,0,7,antipathy, n.  厌恶;反感  
3,0,8,frigid, adj.  性冷淡的;达不到性高潮的;寒冷的;严寒的;冷淡的  
3,0,9,offish,  冷漠的;冷淡的  
3,0,10,passion, n.  强烈情感;激情;盛怒;激愤;强烈的爱(尤指两性间的)  
3,1,0,altruism, n.  利他主义;利他;无私  
3,1,1,egoism, n.  利己主义;自高自大;自负;自我主义  
3,1,2,egocentric, adj.  以自我为中心的;自私自利的  
3,1,3,alternate," adj.  交替的;轮流的;间隔的;每隔(…天等)的  
 v.  使交替;使轮流;交替;轮流  
 n.  代替者;代理人;候补者  "
3,1,4,altercate,"  争论,口角  "
3,1,5,adulterate, v.  (在饮食中)掺杂，掺假  
3,1,6,alternative," n.  可供选择的事物  
 adj.  可供替代的;非传统的;另类的  "
3,2,0,amalgam, n.  混合物;综合体;汞合金，汞齐(尤用于补牙)  
3,2,1,amalgamate, v.  (使)合并，联合;使混合;使合并  
3,3,0,ambush," n.  伏击;埋伏  
 v.  伏击  "
3,3,1,lush," adj.  茂盛的;茂密的;草木繁茂的;华丽舒适的;豪华的  
 n.  酒;酒鬼;（英）勒什  
 vi.  喝醉  "
3,3,2,blush," v.  (因尴尬或害羞)脸红，涨红了脸;(因某事)羞愧，尴尬  
 n.  (因难堪、羞愧)面部泛起的红晕  "
3,3,3,plush," n.  (丝或棉的)长毛绒  
 adj.  舒适的;豪华的  "
3,3,4,gush," v.  (从…中)喷出，涌出，冒出;大量涌出，大量泄出(液体);过分称赞;夸张地表现对…的感情;装腔作势  
 n.  喷出;涌出;冒出;(感情的)迸发，爆发，发作  "
3,3,5,hush," v.  安静;别说话;别叫喊;使安静下来;使停止说话(或叫喊等)  
 n.  寂静;鸦雀无声  "
4,0,0,amorous, adj.  表示性爱的;含情脉脉的  
4,0,1,amour, n.  (尤指秘密的)恋情;风流韵事  
4,0,2,amiable, adj.  和蔼可亲的;亲切友好的  
4,0,3,amicable, adj.  心平气和的;友善的  
4,0,4,amity, n.  和睦;友好  
4,0,5,enmity, n.  敌意;敌对;仇恨  
4,0,6,enamor, v.  使倾心，使迷恋  
4,0,7,pamper, v.  细心照顾;精心护理;娇惯;纵容  
4,0,8,hostile, adj.  敌意的;敌对的;坚决否定;强烈反对;有阻碍的;不利的  
4,1,0,ambition, n.  追求的目标;夙愿;野心;雄心;志向;抱负  
4,1,1,amphibian, n.  两栖动物  
4,1,2,ambiguous, adj.  模棱两可的;含混不清的;不明确的  
4,1,3,ambivalent, adj.  (忧喜参半、好坏参半等)矛盾情绪的  
4,1,4,ambidextrous, adj.  左右手都灵巧的;左右开弓的  
4,1,5,ambience, n.  环境;气氛;格调  